Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Volume_Change,Volume_Change_Lag1
2018-05-03,23836.23,23996.15,23531.31,23930.15,23930.15,389240000,0.02160921346643363,1.00947190865448,1.389217775672913
2018-05-04,23865.22,24333.35,23778.87,24262.51,24262.51,329480000,1.38887553985243,-15.352995581132467,1.00947190865448
2018-05-07,24317.66,24479.45,24263.42,24357.32,24357.32,307670000,0.3907674844853215,-6.619521670511109,-15.352995581132467
2018-05-08,24341.35,24412.34,24198.34,24360.21,24360.21,344940000,0.011865016348266977,12.11362823804727,-6.619521670511109
2018-05-09,24399.18,24586.48,24323.87,24542.54,24542.54,361580000,0.7484746642167694,4.824027367078343,12.11362823804727
2018-05-10,24591.66,24794.99,24575.91,24739.53,24739.53,304210000,0.8026471587700312,-15.866474915647988,4.824027367078343
2018-05-11,24758.64,24868.65,24717.5,24831.17,24831.17,274150000,0.37041932486185924,-9.881331974622798,-15.866474915647988
2018-05-14,24879.37,24994.19,24862.52,24899.41,24899.41,282860000,0.27481588664570733,3.1770928323910264,-9.881331974622798
2018-05-15,24809.55,24809.55,24629.39,24706.41,24706.41,301900000,-0.7751187678744165,6.731245138937991,3.1770928323910264
2018-05-16,24722.32,24801.19,24672.79,24768.93,24768.93,280810000,0.25305173839502704,-6.985756873136795,6.731245138937991
2018-05-17,24752.4,24839.49,24639.4,24713.98,24713.98,314650000,-0.22185051998613314,12.050852889854347,-6.985756873136795
2018-05-18,24707.72,24774.97,24664.87,24715.09,24715.09,269700000,0.004491385037952433,-14.28571428571429,12.050852889854347
2018-05-21,24883.06,25086.49,24883.06,25013.29,25013.29,308920000,1.2065503301829095,14.542083796811278,-14.28571428571429
2018-05-22,25047.55,25064.99,24812.06,24834.41,24834.41,288200000,-0.71513983166549,-6.707238119901593,14.542083796811278
2018-05-23,24757.71,24889.46,24667.12,24886.81,24886.81,399610000,0.2109975634613459,38.65718251214434,-6.707238119901593
2018-05-24,24877.36,24877.36,24605.9,24811.76,24811.76,347050000,-0.30156536735725936,-13.152824003403317,38.65718251214434
2018-05-25,24781.29,24824.22,24687.81,24753.09,24753.09,257210000,-0.23646045262407656,-25.886759832877104,-13.152824003403317
2018-05-29,24606.59,24635.18,24247.84,24361.45,24361.45,395810000,-1.5821863048209317,53.88592978500058,-25.886759832877104
2018-05-30,24467.83,24714.48,24459.09,24667.78,24667.78,324870000,1.2574374678026023,-17.922740708926,53.88592978500058
2018-05-31,24620.79,24620.79,24352.15,24415.84,24415.84,429740000,-1.0213322804078828,32.28060454951211,-17.922740708926
2018-06-01,24542.09,24673.6,24542.09,24635.21,24635.21,315710000,0.898474105334901,-26.534648857448694,32.28060454951211
2018-06-04,24727.55,24859.37,24722.14,24813.69,24813.69,340400000,0.7244914900258692,7.820468151151383,-26.534648857448694
2018-06-05,24820.12,24838.78,24710.82,24799.98,24799.98,306340000,-0.05525175820282335,-10.005875440658052,7.820468151151383
2018-06-06,24854.14,25146.46,24854.14,25146.39,25146.39,316090000,1.3968156425932632,3.182738134099372,-10.005875440658052
2018-06-07,25192.14,25326.09,25164.48,25241.41,25241.41,357680000,0.37786735988745157,13.157644974532579,3.182738134099372
2018-06-08,25209.29,25325.63,25165.7,25316.53,25316.53,317510000,0.2976061955334508,-11.23070901364348,13.157644974532579
2018-06-11,25336.67,25402.83,25290.2,25322.31,25322.31,276740000,0.02283093299122463,-12.840540455418726,-11.23070901364348
2018-06-12,25346.82,25364.37,25247.04,25320.73,25320.73,265750000,-0.006239557133613793,-3.971236539712364,-12.840540455418726
2018-06-13,25328.65,25362.07,25191.42,25201.2,25201.2,329700000,-0.47206379910846863,24.06396989651929,-3.971236539712364
2018-06-14,25254.65,25332.5,25138.6,25175.31,25175.31,341170000,-0.10273320318079371,3.4789202305125944,24.06396989651929
2018-06-15,25116.71,25130.82,24894.38,25090.48,25090.48,659370000,-0.336957121878545,93.26728610370196,3.4789202305125944
2018-06-18,24944.28,25003.1,24825.77,24987.47,24987.47,337070000,-0.4105541225197684,-48.87999150704461,93.26728610370196
2018-06-19,24763.59,24763.59,24567.75,24700.21,24700.21,376380000,-1.1496161876332511,11.662265998160626,-48.87999150704461
2018-06-20,24771.17,24804.76,24628.39,24657.8,24657.8,359520000,-0.17169894506969818,-4.479515383389132,11.662265998160626
2018-06-21,24639.21,24639.21,24406.63,24461.7,24461.7,349570000,-0.7952858730300272,-2.7675789942145035,-4.479515383389132
2018-06-22,24526.97,24663.18,24526.97,24580.89,24580.89,473970000,0.4872514992825483,35.58657779557743,-2.7675789942145035
2018-06-25,24463.73,24463.73,24084.39,24252.8,24252.8,439130000,-1.334736049020191,-7.350676203135221,35.58657779557743
